sentences,ground_truth,total_words,bert_raw,bert_prediction,bert_successes,bert_prediction_length
"['SOCCER', '-', 'JAPAN', 'GET', 'LUCKY', 'WIN', ',', 'CHINA', 'IN', 'SURPRISE', 'DEFEAT', '.']","[0, 0, 5, 0, 0, 0, 0, 1, 0, 0, 0, 0]",12,"[{'entity': 'B-MISC', 'score': 0.4801418, 'index': 6, 'word': 'J', 'start': 9, 'end': 10}, {'entity': 'I-LOC', 'score': 0.290283, 'index': 7, 'word': '##AP', 'start': 10, 'end': 12}, {'entity': 'B-PER', 'score': 0.43156934, 'index': 11, 'word': 'L', 'start': 19, 'end': 20}, {'entity': 'I-LOC', 'score': 0.42212546, 'index': 12, 'word': '##UC', 'start': 20, 'end': 22}, {'entity': 'B-ORG', 'score': 0.6440013, 'index': 18, 'word': 'CH', 'start': 31, 'end': 33}, {'entity': 'I-LOC', 'score': 0.51272297, 'index': 19, 'word': '##IN', 'start': 33, 'end': 35}, {'entity': 'I-ORG', 'score': 0.5849999, 'index': 20, 'word': '##A', 'start': 35, 'end': 36}]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,12
"['Nadim', 'Ladki']","[1, 2]",2,"[{'entity': 'B-PER', 'score': 0.99730563, 'index': 1, 'word': 'Na', 'start': 0, 'end': 2}, {'entity': 'B-PER', 'score': 0.80184275, 'index': 2, 'word': '##di', 'start': 2, 'end': 4}, {'entity': 'B-PER', 'score': 0.6068856, 'index': 3, 'word': '##m', 'start': 4, 'end': 5}, {'entity': 'I-PER', 'score': 0.99857855, 'index': 4, 'word': 'La', 'start': 6, 'end': 8}, {'entity': 'I-PER', 'score': 0.7398138, 'index': 6, 'word': '##ki', 'start': 9, 'end': 11}]","[1, 0]",1,2
"['AL-AIN', ',', 'United', 'Arab', 'Emirates', '1996-12-06']","[5, 0, 5, 6, 6, 0]",6,"[{'entity': 'B-LOC', 'score': 0.9976654, 'index': 1, 'word': 'AL', 'start': 0, 'end': 2}, {'entity': 'I-LOC', 'score': 0.99578744, 'index': 2, 'word': '-', 'start': 2, 'end': 3}, {'entity': 'I-LOC', 'score': 0.9619766, 'index': 3, 'word': 'AI', 'start': 3, 'end': 5}, {'entity': 'I-LOC', 'score': 0.98513675, 'index': 4, 'word': '##N', 'start': 5, 'end': 6}, {'entity': 'B-LOC', 'score': 0.9994467, 'index': 6, 'word': 'United', 'start': 9, 'end': 15}, {'entity': 'I-LOC', 'score': 0.9993622, 'index': 7, 'word': 'Arab', 'start': 16, 'end': 20}, {'entity': 'I-LOC', 'score': 0.99942786, 'index': 8, 'word': 'Emirates', 'start': 21, 'end': 29}]","[5, 0, 5, 6, 6, 0]",6,6
"['Japan', 'began', 'the', 'defence', 'of', 'their', 'Asian', 'Cup', 'title', 'with', 'a', 'lucky', '2-1', 'win', 'against', 'Syria', 'in', 'a', 'Group', 'C', 'championship', 'match', 'on', 'Friday', '.']","[5, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25,"[{'entity': 'B-LOC', 'score': 0.9998572, 'index': 1, 'word': 'Japan', 'start': 0, 'end': 5}, {'entity': 'B-MISC', 'score': 0.99837995, 'index': 7, 'word': 'Asian', 'start': 33, 'end': 38}, {'entity': 'I-MISC', 'score': 0.9979042, 'index': 8, 'word': 'Cup', 'start': 39, 'end': 42}, {'entity': 'B-LOC', 'score': 0.9997607, 'index': 18, 'word': 'Syria', 'start': 78, 'end': 83}, {'entity': 'B-MISC', 'score': 0.70048565, 'index': 21, 'word': 'Group', 'start': 89, 'end': 94}, {'entity': 'I-MISC', 'score': 0.85357904, 'index': 22, 'word': 'C', 'start': 95, 'end': 96}]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]",23,25
"['But', 'China', 'saw', 'their', 'luck', 'desert', 'them', 'in', 'the', 'second', 'match', 'of', 'the', 'group', ',', 'crashing', 'to', 'a', 'surprise', '2-0', 'defeat', 'to', 'newcomers', 'Uzbekistan', '.']","[0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]",25,"[{'entity': 'B-LOC', 'score': 0.9998673, 'index': 2, 'word': 'China', 'start': 4, 'end': 9}, {'entity': 'B-LOC', 'score': 0.9997266, 'index': 27, 'word': 'Uzbekistan', 'start': 119, 'end': 129}]","[0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]",25,25
"['China', 'controlled', 'most', 'of', 'the', 'match', 'and', 'saw', 'several', 'chances', 'missed', 'until', 'the', '78th', 'minute', 'when', 'Uzbek', 'striker', 'Igor', 'Shkvyrin', 'took', 'advantage', 'of', 'a', 'misdirected', 'defensive', 'header', 'to', 'lob', 'the', 'ball', 'over', 'the', 'advancing', 'Chinese', 'keeper', 'and', 'into', 'an', 'empty', 'net', '.']","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0]",42,"[{'entity': 'B-LOC', 'score': 0.99984443, 'index': 1, 'word': 'China', 'start': 0, 'end': 5}, {'entity': 'B-MISC', 'score': 0.9956144, 'index': 18, 'word': 'U', 'start': 93, 'end': 94}, {'entity': 'I-MISC', 'score': 0.83291817, 'index': 19, 'word': '##z', 'start': 94, 'end': 95}, {'entity': 'I-MISC', 'score': 0.9415719, 'index': 20, 'word': '##bek', 'start': 95, 'end': 98}, {'entity': 'B-PER', 'score': 0.99975044, 'index': 22, 'word': 'Igor', 'start': 107, 'end': 111}, {'entity': 'I-PER', 'score': 0.99962413, 'index': 23, 'word': 'S', 'start': 112, 'end': 113}, {'entity': 'I-PER', 'score': 0.9987317, 'index': 24, 'word': '##h', 'start': 113, 'end': 114}, {'entity': 'I-PER', 'score': 0.99210984, 'index': 25, 'word': '##k', 'start': 114, 'end': 115}, {'entity': 'I-PER', 'score': 0.9389651, 'index': 26, 'word': '##vy', 'start': 115, 'end': 117}, {'entity': 'I-PER', 'score': 0.8237878, 'index': 27, 'word': '##rin', 'start': 117, 'end': 120}, {'entity': 'B-MISC', 'score': 0.99976224, 'index': 47, 'word': 'Chinese', 'start': 205, 'end': 212}]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",40,42
"['Oleg', 'Shatskiku', 'made', 'sure', 'of', 'the', 'win', 'in', 'injury', 'time', ',', 'hitting', 'an', 'unstoppable', 'left', 'foot', 'shot', 'from', 'just', 'outside', 'the', 'area', '.']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",23,"[{'entity': 'B-PER', 'score': 0.99895084, 'index': 1, 'word': 'Ole', 'start': 0, 'end': 3}, {'entity': 'B-PER', 'score': 0.88072175, 'index': 2, 'word': '##g', 'start': 3, 'end': 4}, {'entity': 'I-PER', 'score': 0.9997762, 'index': 3, 'word': 'S', 'start': 5, 'end': 6}, {'entity': 'I-PER', 'score': 0.9993629, 'index': 4, 'word': '##hat', 'start': 6, 'end': 9}, {'entity': 'I-PER', 'score': 0.99499196, 'index': 5, 'word': '##ski', 'start': 9, 'end': 12}, {'entity': 'I-PER', 'score': 0.98769855, 'index': 6, 'word': '##ku', 'start': 12, 'end': 14}]","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",23,23
"['The', 'former', 'Soviet', 'republic', 'was', 'playing', 'in', 'an', 'Asian', 'Cup', 'finals', 'tie', 'for', 'the', 'first', 'time', '.']","[0, 0, 7, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0]",17,"[{'entity': 'B-MISC', 'score': 0.9995958, 'index': 3, 'word': 'Soviet', 'start': 11, 'end': 17}, {'entity': 'B-MISC', 'score': 0.9975504, 'index': 9, 'word': 'Asian', 'start': 45, 'end': 50}, {'entity': 'I-MISC', 'score': 0.9973701, 'index': 10, 'word': 'Cup', 'start': 51, 'end': 54}]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",14,17
"['Despite', 'winning', 'the', 'Asian', 'Games', 'title', 'two', 'years', 'ago', ',', 'Uzbekistan', 'are', 'in', 'the', 'finals', 'as', 'outsiders', '.']","[0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0]",18,"[{'entity': 'B-MISC', 'score': 0.9946095, 'index': 4, 'word': 'Asian', 'start': 20, 'end': 25}, {'entity': 'I-MISC', 'score': 0.9954814, 'index': 5, 'word': 'Games', 'start': 26, 'end': 31}, {'entity': 'B-LOC', 'score': 0.99983585, 'index': 11, 'word': 'Uzbekistan', 'start': 54, 'end': 64}]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0]",16,18
"['Two', 'goals', 'from', 'defensive', 'errors', 'in', 'the', 'last', 'six', 'minutes', 'allowed', 'Japan', 'to', 'come', 'from', 'behind', 'and', 'collect', 'all', 'three', 'points', 'from', 'their', 'opening', 'meeting', 'against', 'Syria', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]",28,"[{'entity': 'B-LOC', 'score': 0.9998615, 'index': 12, 'word': 'Japan', 'start': 64, 'end': 69}, {'entity': 'B-LOC', 'score': 0.9997863, 'index': 27, 'word': 'Syria', 'start': 154, 'end': 159}]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]",28,28
"['Takuya', 'Takagi', 'scored', 'the', 'winner', 'in', 'the', '88th', 'minute', ',', 'rising', 'to', 'head', 'a', 'Hiroshige', 'Yanagimoto', 'cross', 'towards', 'the', 'Syrian', 'goal', 'which', 'goalkeeper', 'Salem', 'Bitar', 'appeared', 'to', 'have', 'covered', 'but', 'then', 'allowed', 'to', 'slip', 'into', 'the', 'net', '.']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 7, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",38,"[{'entity': 'B-PER', 'score': 0.9989998, 'index': 1, 'word': 'Ta', 'start': 0, 'end': 2}, {'entity': 'B-PER', 'score': 0.91909415, 'index': 2, 'word': '##ku', 'start': 2, 'end': 4}, {'entity': 'B-PER', 'score': 0.9885343, 'index': 3, 'word': '##ya', 'start': 4, 'end': 6}, {'entity': 'I-PER', 'score': 0.9997873, 'index': 4, 'word': 'Ta', 'start': 7, 'end': 9}, {'entity': 'I-PER', 'score': 0.9951154, 'index': 5, 'word': '##ka', 'start': 9, 'end': 11}, {'entity': 'I-PER', 'score': 0.99832004, 'index': 6, 'word': '##gi', 'start': 11, 'end': 13}, {'entity': 'B-PER', 'score': 0.9989459, 'index': 20, 'word': 'Hi', 'start': 70, 'end': 72}, {'entity': 'B-PER', 'score': 0.9952212, 'index': 21, 'word': '##ros', 'start': 72, 'end': 75}, {'entity': 'I-PER', 'score': 0.95635974, 'index': 22, 'word': '##hi', 'start': 75, 'end': 77}, {'entity': 'B-PER', 'score': 0.6809164, 'index': 23, 'word': '##ge', 'start': 77, 'end': 79}, {'entity': 'I-PER', 'score': 0.9992392, 'index': 24, 'word': 'Yan', 'start': 80, 'end': 83}, {'entity': 'I-PER', 'score': 0.99387676, 'index': 25, 'word': '##agi', 'start': 83, 'end': 86}, {'entity': 'I-PER', 'score': 0.95362705, 'index': 26, 'word': '##moto', 'start': 86, 'end': 90}, {'entity': 'B-MISC', 'score': 0.99977034, 'index': 30, 'word': 'Syrian', 'start': 109, 'end': 115}, {'entity': 'B-PER', 'score': 0.9997888, 'index': 34, 'word': 'Salem', 'start': 138, 'end': 143}, {'entity': 'I-PER', 'score': 0.9998024, 'index': 35, 'word': 'Bit', 'start': 144, 'end': 147}, {'entity': 'I-PER', 'score': 0.999198, 'index': 36, 'word': '##ar', 'start': 147, 'end': 149}]","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",37,38
"['It', 'was', 'the', 'second', 'costly', 'blunder', 'by', 'Syria', 'in', 'four', 'minutes', '.']","[0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0]",12,"[{'entity': 'B-LOC', 'score': 0.99985564, 'index': 10, 'word': 'Syria', 'start': 36, 'end': 41}]","[0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0]",12,12
