sentences,ground_truth,total_words,llm_raw,llm_prediction,llm_successes,bert_prediction,bert_successes
"['What', 'if', 'Google', 'Morphed', 'Into', 'GoogleOS', '?']","['PRON', 'SCONJ', 'PROPN', 'VERB', 'ADP', 'PROPN', 'PUNCT']",7,"[{'raw_response': 'Here is the POS-tagged version of the sentence as a list of JSON objects:\n```bash\n[\n  {""text"": ""What"", ""tag"": ""INTJ""},\n  {""text"": ""if"", ""tag"": ""CCONJ""},\n  {""text"": ""Google"", ""tag"": ""PROPN""},\n  {""text"": ""Morphed"", ""tag"": ""VERB""},\n  {""text"": ""Into"", ""tag"": ""ADP""},\n  {""text"": ""GoogleOS"", ""tag"": ""PROPN""},\n  {""text"": ""?"", ""tag"": ""PUNCT""}\n]\n```\nExplanation:\n\n* ""What"" is an interjection (INTJ).\n* ""if"" is a coordinating conjunction (CCONJ).\n* ""Google"" is a proper noun (PROPN).\n* ""Morphed"" is a verb (VERB).\n* ""Into"" is an adposition (ADP).\n* ""GoogleOS"" is a proper noun (PROPN).\n* ""?"" is punctuation (PUNCT).', 'parsed_json': {'error': 'Response could not be parsed as JSON', 'raw_output': 'Here is the POS-tagged version of the sentence as a list of JSON objects:\n```bash\n[\n  {""text"": ""What"", ""tag"": ""INTJ""},\n  {""text"": ""if"", ""tag"": ""CCONJ""},\n  {""text"": ""Google"", ""tag"": ""PROPN""},\n  {""text"": ""Morphed"", ""tag"": ""VERB""},\n  {""text"": ""Into"", ""tag"": ""ADP""},\n  {""text"": ""GoogleOS"", ""tag"": ""PROPN""},\n  {""text"": ""?"", ""tag"": ""PUNCT""}\n]\n```\nExplanation:\n\n* ""What"" is an interjection (INTJ).\n* ""if"" is a coordinating conjunction (CCONJ).\n* ""Google"" is a proper noun (PROPN).\n* ""Morphed"" is a verb (VERB).\n* ""Into"" is an adposition (ADP).\n* ""GoogleOS"" is a proper noun (PROPN).\n* ""?"" is punctuation (PUNCT).'}}]",[],0,"['WP', 'IN', 'NNP', 'VBN', 'IN', 'NNP', 'NNPS', '.']",0
"['What', 'if', 'Google', 'expanded', 'on', 'its', 'search', '-', 'engine', '(', 'and', 'now', 'e-mail', ')', 'wares', 'into', 'a', 'full', '-', 'fledged', 'operating', 'system', '?']","['PRON', 'SCONJ', 'PROPN', 'VERB', 'ADP', 'PRON', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'ADV', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'DET', 'ADV', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']",23,"[{'raw_response': '[\n  {""text"": ""What"", ""tag"": ""PRON""},\n  {""text"": ""if"", ""tag"": ""CCONJ""},\n  {""text"": ""Google"", ""tag"": ""PROPN""},\n  {""text"": ""expanded"", ""tag"": ""VERB""},\n  {""text"": ""on"", ""tag"": ""ADP""},\n  {""text"": ""its"", ""tag"": ""PRON""},\n  {""text"": ""search"", ""tag"": ""NOUN""},\n  {""text"": ""-"", ""tag"": ""PUNCT""},\n  {""text"": ""engine"", ""tag"": ""NOUN""},\n  {""text"": ""("", ""tag"": ""PUNCT""},\n  {""text"": ""and"", ""tag"": ""CCONJ""},\n  {""text"": ""now"", ""tag"": ""ADV""},\n  {""text"": ""e-mail"", ""tag"": ""NOUN""},\n  {""text"": "")"", ""tag"": ""PUNCT""},\n  {""text"": ""wares"", ""tag"": ""NOUN""},\n  {""text"": ""into"", ""tag"": ""ADP""},\n  {""text"": ""a"", ""tag"": ""DET""},\n  {""text"": ""full"", ""tag"": ""ADJ""},\n  {""text"": ""-"", ""tag"": ""PUNCT""},\n  {""text"": ""fledged"", ""tag"": ""ADJ""},\n  {""text"": ""operating"", ""tag"": ""VERB""},\n  {""text"": ""system"", ""tag"": ""NOUN""},\n  {""text"": ""?"", ""tag"": ""PUNCT""}\n]', 'parsed_json': [{'text': 'What', 'tag': 'PRON'}, {'text': 'if', 'tag': 'CCONJ'}, {'text': 'Google', 'tag': 'PROPN'}, {'text': 'expanded', 'tag': 'VERB'}, {'text': 'on', 'tag': 'ADP'}, {'text': 'its', 'tag': 'PRON'}, {'text': 'search', 'tag': 'NOUN'}, {'text': '-', 'tag': 'PUNCT'}, {'text': 'engine', 'tag': 'NOUN'}, {'text': '(', 'tag': 'PUNCT'}, {'text': 'and', 'tag': 'CCONJ'}, {'text': 'now', 'tag': 'ADV'}, {'text': 'e-mail', 'tag': 'NOUN'}, {'text': ')', 'tag': 'PUNCT'}, {'text': 'wares', 'tag': 'NOUN'}, {'text': 'into', 'tag': 'ADP'}, {'text': 'a', 'tag': 'DET'}, {'text': 'full', 'tag': 'ADJ'}, {'text': '-', 'tag': 'PUNCT'}, {'text': 'fledged', 'tag': 'ADJ'}, {'text': 'operating', 'tag': 'VERB'}, {'text': 'system', 'tag': 'NOUN'}, {'text': '?', 'tag': 'PUNCT'}]}]","['PRON', 'CCONJ', 'PROPN', 'VERB', 'ADP', 'PRON', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'ADV', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'DET', 'ADJ', 'PUNCT', 'ADJ', 'VERB', 'NOUN', 'PUNCT']",20,"['WP', 'IN', 'NNP', 'VBN', 'IN', 'PRP$', 'NN', ':', 'NN', '', 'CC', 'RB', 'NN', ':', 'NN', '', 'NNS', 'IN', 'SYM', 'JJ', ':', 'VBN', 'VBG', 'NN', '.']",0
"['[', 'via', 'Microsoft', 'Watch', 'from', 'Mary', 'Jo', 'Foley', ']']","['PUNCT', 'ADP', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']",9,"[{'raw_response': 'Here is the POS tagging for the given sentence:\n\n[\n  {""text"": ""["", ""tag"": ""PUNCT""},\n  {""text"": ""via"", ""tag"": ""ADP""},\n  {""text"": ""Microsoft"", ""tag"": ""PROPN""},\n  {""text"": ""Watch"", ""tag"": ""NOUN""},\n  {""text"": ""from"", ""tag"": ""ADP""},\n  {""text"": ""Mary"", ""tag"": ""PROPN""},\n  {""text"": ""Jo"", ""tag"": ""NOUN""},\n  {""text"": ""Foley"", ""tag"": ""PROPN""},\n  {""text"": ""]"", ""tag"": ""PUNCT""}\n]', 'parsed_json': {'error': 'Response could not be parsed as JSON', 'raw_output': 'Here is the POS tagging for the given sentence:\n\n[\n  {""text"": ""["", ""tag"": ""PUNCT""},\n  {""text"": ""via"", ""tag"": ""ADP""},\n  {""text"": ""Microsoft"", ""tag"": ""PROPN""},\n  {""text"": ""Watch"", ""tag"": ""NOUN""},\n  {""text"": ""from"", ""tag"": ""ADP""},\n  {""text"": ""Mary"", ""tag"": ""PROPN""},\n  {""text"": ""Jo"", ""tag"": ""NOUN""},\n  {""text"": ""Foley"", ""tag"": ""PROPN""},\n  {""text"": ""]"", ""tag"": ""PUNCT""}\n]'}}]",[],0,"['', 'IN', 'NNP', 'VB', 'IN', 'NNP', 'UH', 'NNP', '']",0
"['(', 'And', ',', 'by', 'the', 'way', ',', 'is', 'anybody', 'else', 'just', 'a', 'little', 'nostalgic', 'for', 'the', 'days', 'when', 'that', 'was', 'a', 'good', 'thing', '?', ')']","['PUNCT', 'CCONJ', 'PUNCT', 'ADP', 'DET', 'NOUN', 'PUNCT', 'AUX', 'PRON', 'ADJ', 'ADV', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADV', 'PRON', 'AUX', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT']",25,"[{'raw_response': '[\n  {""text"": ""("", ""tag"": ""PUNCT""},\n  {""text"": ""And"", ""tag"": ""CCONJ""},\n  {""text"": "","", ""tag"": ""PUNCT""},\n  {""text"": ""by"", ""tag"": ""ADP""},\n  {""text"": ""the"", ""tag"": ""DET""},\n  {""text"": ""way"", ""tag"": ""NOUN""},\n  {""text"": "","", ""tag"": ""PUNCT""},\n  {""text"": ""is"", ""tag"": ""AUX""},\n  {""text"": ""anybody"", ""tag"": ""PRON""},\n  {""text"": ""else"", ""tag"": ""ADV""},\n  {""text"": ""just"", ""tag"": ""ADV""},\n  {""text"": ""a"", ""tag"": ""DET""},\n  {""text"": ""little"", ""tag"": ""ADJ""},\n  {""text"": ""nostalgic"", ""tag"": ""ADJ""},\n  {""text"": ""for"", ""tag"": ""ADP""},\n  {""text"": ""the"", ""tag"": ""DET""},\n  {""text"": ""days"", ""tag"": ""NOUN""},\n  {""text"": ""when"", ""tag"": ""SCONJ""},\n  {""text"": ""that"", ""tag"": ""PRON""},\n  {""text"": ""was"", ""tag"": ""AUX""},\n  {""text"": ""a"", ""tag"": ""DET""},\n  {""text"": ""good"", ""tag"": ""ADJ""},\n  {""text"": ""thing"", ""tag"": ""NOUN""},\n  {""text"": ""?"", ""tag"": ""PUNCT""},\n  {""text"": "")"", ""tag"": ""PUNCT""}\n]', 'parsed_json': [{'text': '(', 'tag': 'PUNCT'}, {'text': 'And', 'tag': 'CCONJ'}, {'text': ',', 'tag': 'PUNCT'}, {'text': 'by', 'tag': 'ADP'}, {'text': 'the', 'tag': 'DET'}, {'text': 'way', 'tag': 'NOUN'}, {'text': ',', 'tag': 'PUNCT'}, {'text': 'is', 'tag': 'AUX'}, {'text': 'anybody', 'tag': 'PRON'}, {'text': 'else', 'tag': 'ADV'}, {'text': 'just', 'tag': 'ADV'}, {'text': 'a', 'tag': 'DET'}, {'text': 'little', 'tag': 'ADJ'}, {'text': 'nostalgic', 'tag': 'ADJ'}, {'text': 'for', 'tag': 'ADP'}, {'text': 'the', 'tag': 'DET'}, {'text': 'days', 'tag': 'NOUN'}, {'text': 'when', 'tag': 'SCONJ'}, {'text': 'that', 'tag': 'PRON'}, {'text': 'was', 'tag': 'AUX'}, {'text': 'a', 'tag': 'DET'}, {'text': 'good', 'tag': 'ADJ'}, {'text': 'thing', 'tag': 'NOUN'}, {'text': '?', 'tag': 'PUNCT'}, {'text': ')', 'tag': 'PUNCT'}]}]","['PUNCT', 'CCONJ', 'PUNCT', 'ADP', 'DET', 'NOUN', 'PUNCT', 'AUX', 'PRON', 'ADV', 'ADV', 'DET', 'ADJ', 'ADJ', 'ADP', 'DET', 'NOUN', 'SCONJ', 'PRON', 'AUX', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT']",22,"['', 'CC', ',', 'IN', 'DT', 'NN', ',', 'VBZ', 'NN', 'RB', 'RB', 'SYM', 'JJ', 'JJ', 'IN', 'DT', 'NNS', 'WRB', 'IN', 'VBD', 'SYM', 'JJ', 'NN', '.', '']",0
"['This', 'BuzzMachine', 'post', 'argues', 'that', 'Google', ""'s"", 'rush', 'toward', 'ubiquity', 'might', 'backfire', '--', 'which', 'we', ""'ve"", 'all', 'heard', 'before', ',', 'but', 'it', ""'s"", 'particularly', 'well', '-', 'put', 'in', 'this', 'post', '.']","['DET', 'PROPN', 'NOUN', 'VERB', 'SCONJ', 'PROPN', 'PART', 'NOUN', 'ADP', 'NOUN', 'AUX', 'VERB', 'PUNCT', 'PRON', 'PRON', 'AUX', 'ADV', 'VERB', 'ADV', 'PUNCT', 'CCONJ', 'PRON', 'VERB', 'ADV', 'ADV', 'PUNCT', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']",31,"[{'raw_response': '[\n  {""text"": ""This"", ""tag"": ""DT""},\n  {""text"": ""BuzzMachine"", ""tag"": ""PROPN""},\n  {""text"": ""post"", ""tag"": ""NOUN""},\n  {""text"": ""argues"", ""tag"": ""VERB""},\n  {""text"": ""that"", ""tag"": ""SCONJ""},\n  {""text"": ""Google"", ""tag"": ""PROPN""},\n  {""text"": ""\'s"", ""tag"": ""PRON""},\n  {""text"": ""rush"", ""tag"": ""NOUN""},\n  {""text"": ""toward"", ""tag"": ""ADP""},\n  {""text"": ""ubiquity"", ""tag"": ""NOUN""},\n  {""text"": ""might"", ""tag"": ""AUX""},\n  {""text"": ""backfire"", ""tag"": ""VERB""},\n  {""text"": ""--"", ""tag"": ""PUNCT""},\n  {""text"": ""which"", ""tag"": ""PRON""},\n  {""text"": ""we"", ""tag"": ""PRON""},\n  {""text"": ""\'ve"", ""tag"": ""AUX""},\n  {""text"": ""all"", ""tag"": ""DET""},\n  {""text"": ""heard"", ""tag"": ""VERB""},\n  {""text"": ""before"", ""tag"": ""ADV""},\n  {""text"": "","", ""tag"": ""PUNCT""},\n  {""text"": ""but"", ""tag"": ""CCONJ""},\n  {""text"": ""it"", ""tag"": ""PRON""},\n  {""text"": ""\'s"", ""tag"": ""AUX""},\n  {""text"": ""particularly"", ""tag"": ""ADV""},\n  {""text"": ""well"", ""tag"": ""ADJ""},\n  {""text"": ""-"", ""tag"": ""PUNCT""},\n  {""text"": ""put"", ""tag"": ""VERB""},\n  {""text"": ""in"", ""tag"": ""ADP""},\n  {""text"": ""this"", ""tag"": ""DT""},\n  {""text"": ""post"", ""tag"": ""NOUN""},\n  {""text"": ""."", ""tag"": ""PUNCT""}\n]', 'parsed_json': [{'text': 'This', 'tag': 'DT'}, {'text': 'BuzzMachine', 'tag': 'PROPN'}, {'text': 'post', 'tag': 'NOUN'}, {'text': 'argues', 'tag': 'VERB'}, {'text': 'that', 'tag': 'SCONJ'}, {'text': 'Google', 'tag': 'PROPN'}, {'text': ""'s"", 'tag': 'PRON'}, {'text': 'rush', 'tag': 'NOUN'}, {'text': 'toward', 'tag': 'ADP'}, {'text': 'ubiquity', 'tag': 'NOUN'}, {'text': 'might', 'tag': 'AUX'}, {'text': 'backfire', 'tag': 'VERB'}, {'text': '--', 'tag': 'PUNCT'}, {'text': 'which', 'tag': 'PRON'}, {'text': 'we', 'tag': 'PRON'}, {'text': ""'ve"", 'tag': 'AUX'}, {'text': 'all', 'tag': 'DET'}, {'text': 'heard', 'tag': 'VERB'}, {'text': 'before', 'tag': 'ADV'}, {'text': ',', 'tag': 'PUNCT'}, {'text': 'but', 'tag': 'CCONJ'}, {'text': 'it', 'tag': 'PRON'}, {'text': ""'s"", 'tag': 'AUX'}, {'text': 'particularly', 'tag': 'ADV'}, {'text': 'well', 'tag': 'ADJ'}, {'text': '-', 'tag': 'PUNCT'}, {'text': 'put', 'tag': 'VERB'}, {'text': 'in', 'tag': 'ADP'}, {'text': 'this', 'tag': 'DT'}, {'text': 'post', 'tag': 'NOUN'}, {'text': '.', 'tag': 'PUNCT'}]}]","['DT', 'PROPN', 'NOUN', 'VERB', 'SCONJ', 'PROPN', 'PRON', 'NOUN', 'ADP', 'NOUN', 'AUX', 'VERB', 'PUNCT', 'PRON', 'PRON', 'AUX', 'DET', 'VERB', 'ADV', 'PUNCT', 'CCONJ', 'PRON', 'AUX', 'ADV', 'ADJ', 'PUNCT', 'VERB', 'ADP', 'DT', 'NOUN', 'PUNCT']",25,"['DT', 'NNP', 'NN', 'VBZ', 'IN', 'NNP', 'POS', 'VBZ', 'NN', 'IN', 'NN', 'MD', 'NN', ':', 'WDT', 'PRP', 'VBP', 'DT', 'VBN', 'IN', ',', 'CC', 'PRP', 'POS', 'VBZ', 'RB', 'RB', ':', 'VB', 'IN', 'DT', 'NN', '.']",0
"['Google', 'is', 'a', 'nice', 'search', 'engine', '.']","['PROPN', 'AUX', 'DET', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']",7,"[{'raw_response': '[\n  {""text"": ""Google"", ""tag"": ""PROPN""},\n  {""text"": ""is"", ""tag"": ""AUX""},\n  {""text"": ""a"", ""tag"": ""DET""},\n  {""text"": ""nice"", ""tag"": ""ADJ""},\n  {""text"": ""search"", ""tag"": ""NOUN""},\n  {""text"": ""engine"", ""tag"": ""NOUN""},\n  {""text"": ""."", ""tag"": ""PUNCT""}\n]', 'parsed_json': [{'text': 'Google', 'tag': 'PROPN'}, {'text': 'is', 'tag': 'AUX'}, {'text': 'a', 'tag': 'DET'}, {'text': 'nice', 'tag': 'ADJ'}, {'text': 'search', 'tag': 'NOUN'}, {'text': 'engine', 'tag': 'NOUN'}, {'text': '.', 'tag': 'PUNCT'}]}]","['PROPN', 'AUX', 'DET', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']",7,"['NNP', 'VBZ', 'SYM', 'JJ', 'NN', 'NN', '.']",0
"['Does', 'anybody', 'use', 'it', 'for', 'anything', 'else', '?']","['AUX', 'PRON', 'VERB', 'PRON', 'ADP', 'PRON', 'ADJ', 'PUNCT']",8,"[{'raw_response': 'Here\'s the POS tagging for the given sentence:\n\n[\n  {""text"": ""Does"", ""tag"": ""AUX""},\n  {""text"": ""anybody"", ""tag"": ""PRON""},\n  {""text"": ""use"", ""tag"": ""VERB""},\n  {""text"": ""it"", ""tag"": ""PRON""},\n  {""text"": ""for"", ""tag"": ""ADP""},\n  {""text"": ""anything"", ""tag"": ""NOUN""},\n  {""text"": ""else"", ""tag"": ""ADV""},\n  {""text"": ""?"", ""tag"": ""PUNCT""}\n]', 'parsed_json': {'error': 'Response could not be parsed as JSON', 'raw_output': 'Here\'s the POS tagging for the given sentence:\n\n[\n  {""text"": ""Does"", ""tag"": ""AUX""},\n  {""text"": ""anybody"", ""tag"": ""PRON""},\n  {""text"": ""use"", ""tag"": ""VERB""},\n  {""text"": ""it"", ""tag"": ""PRON""},\n  {""text"": ""for"", ""tag"": ""ADP""},\n  {""text"": ""anything"", ""tag"": ""NOUN""},\n  {""text"": ""else"", ""tag"": ""ADV""},\n  {""text"": ""?"", ""tag"": ""PUNCT""}\n]'}}]",[],0,"['VBZ', 'NN', 'VB', 'PRP', 'IN', 'NN', 'RB', '.']",0
"['They', 'own', 'blogger', ',', 'of', 'course', '.']","['PRON', 'VERB', 'PROPN', 'PUNCT', 'ADV', 'ADV', 'PUNCT']",7,"[{'raw_response': '[\n  {""text"": ""They"", ""tag"": ""PRON""},\n  {""text"": ""own"", ""tag"": ""VERB""},\n  {""text"": ""blogger"", ""tag"": ""NOUN""},\n  {""text"": "","", ""tag"": ""PUNCT""},\n  {""text"": ""of"", ""tag"": ""ADP""},\n  {""text"": ""course"", ""tag"": ""NOUN""},\n  {""text"": ""."", ""tag"": ""PUNCT""}\n]', 'parsed_json': [{'text': 'They', 'tag': 'PRON'}, {'text': 'own', 'tag': 'VERB'}, {'text': 'blogger', 'tag': 'NOUN'}, {'text': ',', 'tag': 'PUNCT'}, {'text': 'of', 'tag': 'ADP'}, {'text': 'course', 'tag': 'NOUN'}, {'text': '.', 'tag': 'PUNCT'}]}]","['PRON', 'VERB', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'PUNCT']",4,"['PRP', 'JJ', 'NN', ',', 'IN', 'NN', '.']",0
"['Is', 'that', 'a', 'money', 'maker', '?']","['AUX', 'PRON', 'DET', 'NOUN', 'NOUN', 'PUNCT']",6,"[{'raw_response': '[\n  {""text"": ""Is"", ""tag"": ""AUX""},\n  {""text"": ""that"", ""tag"": ""DET""},\n  {""text"": ""a"", ""tag"": ""ADJ""},\n  {""text"": ""money"", ""tag"": ""NOUN""},\n  {""text"": ""maker"", ""tag"": ""NOUN""},\n  {""text"": ""?"", ""tag"": ""PUNCT""}\n]', 'parsed_json': [{'text': 'Is', 'tag': 'AUX'}, {'text': 'that', 'tag': 'DET'}, {'text': 'a', 'tag': 'ADJ'}, {'text': 'money', 'tag': 'NOUN'}, {'text': 'maker', 'tag': 'NOUN'}, {'text': '?', 'tag': 'PUNCT'}]}]","['AUX', 'DET', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']",4,"['VBZ', 'IN', 'SYM', 'NN', 'NN', '.']",0
"['I', ""'m"", 'staying', 'away', 'from', 'the', 'stock', '.']","['PRON', 'AUX', 'VERB', 'ADV', 'ADP', 'DET', 'NOUN', 'PUNCT']",8,"[{'raw_response': '[\n  {""text"": ""I"", ""tag"": ""PRON""},\n  {""text"": ""\'m"", ""tag"": ""AUX""},\n  {""text"": ""staying"", ""tag"": ""VERB""},\n  {""text"": ""away"", ""tag"": ""ADV""},\n  {""text"": ""from"", ""tag"": ""ADP""},\n  {""text"": ""the"", ""tag"": ""DET""},\n  {""text"": ""stock"", ""tag"": ""NOUN""},\n  {""text"": ""."", ""tag"": ""PUNCT""}\n]', 'parsed_json': [{'text': 'I', 'tag': 'PRON'}, {'text': ""'m"", 'tag': 'AUX'}, {'text': 'staying', 'tag': 'VERB'}, {'text': 'away', 'tag': 'ADV'}, {'text': 'from', 'tag': 'ADP'}, {'text': 'the', 'tag': 'DET'}, {'text': 'stock', 'tag': 'NOUN'}, {'text': '.', 'tag': 'PUNCT'}]}]","['PRON', 'AUX', 'VERB', 'ADV', 'ADP', 'DET', 'NOUN', 'PUNCT']",8,"['PRP', 'VBP', 'VBG', 'RB', 'IN', 'DT', 'NN', '.']",0
